OBJECTID,A_NUMBER,A_TYPE,A_DATE,A_STATUS,A_STATUS_DATE,A_PROJECT_NAME,A_DESCRIPTION,A_USER_ID,A_CASE_PLANNER,CODE,DESCR,CODE_1,DESCR_1,USER_NAME,EMAIL,ORIG_FID,CreationDate,Creator,EditDate,Editor,x,y
10926,D2100065,PL_MINSP,3/1/2021 3:29:02 PM,APP,2/7/2022 1:59:16 PM,Broadway Mews,10 Residential townhouse units,JESSICADO,COURTNEYMC,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Courtney McQueen,Courtney.McQueen@durhamnc.gov,10926,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2030596.94929011,819180.974218726
10935,D1500037,PL_MINSP,2/18/2015 12:55:25 PM,APP,7/15/2015 2:23:05 PM,Hillsborough Road Business Park,"Construction of two new office and retail buildings totalling 21,800 sf",MAIEAR,JENNIFERL,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Jennifer Leaf,Jennifer.Leaf@durhamnc.gov,10935,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2006147.98171198,831093.060937479
10941,COA1100065,PL_MJ_COA,9/6/2011 12:00:00 AM,APP,10/4/2011 1:22:51 PM,106 Parrish St - Renovation,Renovation and upfit vacant building,LMILLER,LMILLER,APP,Approved,PL_MJ_COA,Major COA,Lisa Miller,Lisa.Miller@durhamnc.gov,10941,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2029417.55436823,817445.15039061
10948,D1600274,PL_MINSP,9/27/2016 9:30:36 AM,APP,12/1/2016 9:55:09 AM,Chapel Hill Boulevard Self Storage Center Amendment,"Addition of 5,575 SF of building area.",MARIAHER,TREYFI,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Trey Figueroa,Trey.Figueroa@durhamnc.gov,10948,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2014149.00319636,808661.174218729
10949,Z1900057,D_REZ,12/9/2019 12:00:00 AM,APP,2/11/2021 4:45:05 PM,Corners at Brier Creek Townhomes - South ,Development with 130 residential townhomes. Maximum number of townhomes will not exceed 130. ,JOANNEG,DCULTRA,APP,Approved,D_REZ,Zoning Map Change,Danny Cultra,Danny.Cultra@durhamnc.gov,10949,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2063161.58796199,790242.185156226
10954,A1000003,PL_CPAA,3/12/2010 2:50:59 PM,APP,11/9/2010 4:52:14 PM,Downtown North,Change of 27 parcels from medium density res urban tier to design dist downtown.,WBLALOCK,HBERG,APP,Approved,PL_CPAA,Comprehensive Plan Map or Plan Amendment,,,10954,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2030024.56139947,820145.321093738
10967,D1300186,PL_SSP_SM,6/27/2013 8:03:10 AM,APP,12/18/2013 4:17:38 PM,Winsford in the Park Amendment,"Amendment to the existing approved site plan D06-489, expires on 12/03/2015.  Floodplain Development Permit submitted 7-3-2013.",DACIARE,GSHERRON,APP,Approved,PL_SSP_SM,Level 3 - Administrative Site Plan,,,10967,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2037830.42038386,798468.997656226
10970,D2000116,PL_MINSP,5/26/2020 9:22:12 AM,APP,8/16/2021 1:43:34 PM,Sherron Road Townhomes,55 Townhome Units + 2 Open Space Lots,KIMRO,TREYFI,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Trey Figueroa,Trey.Figueroa@durhamnc.gov,10970,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2056029.22936822,805284.610546857
10971,D2200184,PL_MINSP,6/9/2022 11:17:51 AM,APP,3/17/2023 10:00:20 AM,Immanuel Temple SDA Church Community Service Facility,The SDA Church proposes to build a community Services facility.,COLERE,COLERE,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Cole Renigar,Cole.Renigar@durhamnc.gov,10971,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2033042.84382136,804601.539843738
10975,D1400277,PL_MINSP,8/26/2014 3:45:42 PM,APP,4/23/2015 2:20:43 PM,Liberty Ridge,"Developing four warehouse buildings for a total of 462,000 sq ft with associated parking, sidewalks, waterlines, gravity sewer lines, and stormwater drainage.",DACIARE,BDOBRZENSKI,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Bo Dobrzenski,Bo.Dobrzenski@durhamnc.gov,10975,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2051446.87077448,790109.601171851
11004,D1800064,PL_MINSP,3/6/2018 1:56:53 PM,APP,9/20/2018 1:25:07 PM,Geer Street Townhomes,3 New Town Homes,JESSICADO,JESSICADO,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Jessica Dockery,Jessica.Dockery@durhamnc.gov,11004,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2030406.3180401,820367.991406232
11010,D1800023,PL_MINSP,1/30/2018 3:13:52 PM,APP,5/18/2018 10:14:42 AM,Erwin Terrace Hotel,"Revision to approved site plan D1700176, to revise the 2 and 1 sand filter to 1",AMANDAHO,EMILYST,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Emily Struthers,Emily.Struthers@durhamnc.gov,11010,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2015416.87663385,821568.591015607
11011,COA2300096,PL_MJ_COA,12/13/2023 10:15:41 AM,AP_CON,2/6/2024 3:12:02 PM,848 Sedgefield St-New Const,"Proposed accessory dweling unit, off street parking with ability to charge electric vehicles, and adjustments backyard for better stormwater control.",KROSENBERG,KROSENBERG,AP_CON,Approved With Conditions,PL_MJ_COA,Major COA,Karla Rosenberg,Karla.Rosenberg@durhamnc.gov,11011,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2024629.40554011,823040.095312476
11014,Z2400009,D_REZ,2/23/2024 1:38:39 PM,APP,1/6/2025 4:22:26 PM,Caring House Expansion,Caring House provides affordable supportive housing for Duke Cancer Institute adult outpatients and their caregivers. Rezoning is sought to allow expansion of the exisiting facility.,EESBRI,ACAIN,APP,Approved,D_REZ,Zoning Map Change,Aaron Cain,Aaron.Cain@durhamnc.gov,11014,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2016438.13600886,809395.074218735
11015,COA1400029,PL_MJ_COA,2/26/2014 12:00:00 AM,APP,5/6/2014 5:55:24 PM,802 Cleveland St - Renovation and Restoration,"Renovation and restoration of house to include new windows, roofing and porch.",JESSICADO,KROSENBERG,APP,Approved,PL_MJ_COA,Major COA,Karla Rosenberg,Karla.Rosenberg@durhamnc.gov,11015,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2030788.57429011,818292.789843738
11017,D1600042,PL_MINSP,2/16/2016 8:28:03 AM,APP,10/3/2016 11:28:16 AM,Goodwill - Wake Forest Hwy Approved Plan,"11,525 sq. ft. retail building on 2.22 acres",JUNEMA,DCULTRA,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Danny Cultra,Danny.Cultra@durhamnc.gov,11017,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2061856.93405573,810135.605859354
11023,D0800285,PL_SSP_SM,12/2/2008 8:03:49 AM,APP,12/5/2008 10:49:50 AM,Duke Bryan Center Deck Addition,Addition of wooden deck at rear of existing university building,LEEDA,DDOTY,APP,Approved,PL_SSP_SM,Level 3 - Administrative Site Plan,Dennis Doty,Dennis.Doty@durhamnc.gov,11023,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2015697.85632135,817927.700781226
11028,COA1000015,PL_MJ_COA,3/2/2010 12:00:00 AM,APP,4/6/2010 2:21:55 PM,201 West Main Street ATM,"Addition of ATM to Main Street side of building, exisiting dark glass to remain same, with addition of new mullions and painted backing so it is not possible to view inside.  Also, ATM will be added to either side of the existing stucco canopy",AKRAMER,AKRAMER,APP,Approved,PL_MJ_COA,Major COA,,,11028,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2028944.5289776,817311.738671854
11042,D2100447,PL_MINSP,12/16/2021 9:15:19 AM,APP,8/18/2022 4:17:22 PM,Marketplace at Ellis Crossing Lots 9-11,"Grading and detention of Lots 9,10 and 11; Driveway for Lots 9 and 11",COLERE,COLERE,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Cole Renigar,Cole.Renigar@durhamnc.gov,11042,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2042734.32155573,797680.629296854
11045,D1100137,PL_MINSP,7/14/2011 10:41:02 AM,APP,10/27/2011 1:44:43 PM,Plaza Center Parking Revisions,"Restripe existing parking lots, add HC accessible parking spaces and curb ramps, add bicycle parking. Requesting DRB approval of reduction in required surface parking. ",DACIARE,MSTOCK,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Michael Stock,Michael.Stock@durhamnc.gov,11045,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2030031.50514948,783300.856640607
11049,D1800147,PL_MINSP,5/8/2018 1:34:43 PM,APP,7/31/2018 11:00:21 AM,Autorific Carwash,Carwash,KARENPA,TREYFI,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Trey Figueroa,Trey.Figueroa@durhamnc.gov,11049,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2026501.46999323,846510.147265613
11052,COA1200074,PL_MJ_COA,8/27/2012 2:15:52 PM,APP,10/3/2012 10:57:08 AM,,2 new signs for front and rear of building,LMILLER,LMILLER,APP,Approved,PL_MJ_COA,Major COA,Lisa Miller,Lisa.Miller@durhamnc.gov,11052,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2027199.38991511,818981.562499985
11073,D1100116,PL_SSP_SM,6/16/2011 8:34:16 AM,APP,8/11/2011 2:21:18 PM,Broad Street Renovation Amendment,"Revise plan to remove storm pipe extension and adjust parking layout. 721 and 731 Broad Street. zoned OI, Compact Neighborhood Tier. Neuse Basin",DACIARE,MSTOCK,APP,Approved,PL_SSP_SM,Level 3 - Administrative Site Plan,Michael Stock,Michael.Stock@durhamnc.gov,11073,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2023659.99264948,822322.249609351
11082,D1300155,PL_MINSP,5/28/2013 10:25:59 AM,APP,10/11/2013 4:41:43 PM,Southeast Pressure Zone Elevated Water Storage Tank,"Demolishing and existing structure, erecting a 195' tall 1.5 MG elevated water storage tank, and installing its appurtment driveway and parking area. ",DACIARE,DCULTRA,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Danny Cultra,Danny.Cultra@durhamnc.gov,11082,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2055592.15827449,792754.670312479
11086,D1600102,PL_SSP_SM,4/5/2016 8:34:18 AM,APP,6/16/2016 9:40:04 AM,NC Museum of Life and Science Earth Moves Exhibit,Construct new outdoor museum exhibit.,MARIAHER,TREYFI,APP,Approved,PL_SSP_SM,Level 3 - Administrative Site Plan,Trey Figueroa,Trey.Figueroa@durhamnc.gov,11086,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2030211.34577449,830354.496484354
11090,D1600346,PL_MINSP,12/8/2016 10:06:10 AM,APP,2/10/2017 1:14:47 PM,Van Alen Residential Amendment,"10 additional residential units, driveway, streetscape and demolition.",KIMRO,EMILYST,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Emily Struthers,Emily.Struthers@durhamnc.gov,11090,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2029156.24421199,815686.120703101
11096,D1000005,PL_SSP_SM,1/5/2010 8:19:41 AM,APP,1/26/2010 11:13:14 AM,Cedar Terrace Office Park,Subdivision of a 2.888 parcel with two existing office buildings into two lots with requested waiver per UDO section 3.6.9,JOANNEG,GSHERRON,APP,Approved,PL_SSP_SM,Level 3 - Administrative Site Plan,,,11096,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2016027.63874324,808269.935937479
11114,D1300269,PL_SSP_SM,9/17/2013 10:08:43 AM,APP,5/8/2014 5:32:15 PM,609 Foster Street,"Event Space, Distillery, and Catering Area (Kitchen)",JOANNEG,LHODGES,APP,Approved,PL_SSP_SM,Level 3 - Administrative Site Plan,,,11114,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2029077.1149151,819897.571874976
11115,COA2000074,PL_MJ_COA,9/20/2020 12:00:00 AM,COM,8/12/2021 6:47:55 PM,1111 Georgia Avenue - New Construction,Construction of a single-story accessory dwelling unit and a parking area.,KEAGANSA,KEAGANSA,COM,Complete,PL_MJ_COA,Major COA,Keagan Sacripanti,Keagan.Sacripanti@durhamnc.gov,11115,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2019313.15124322,825119.665624976
11133,COA1600010,PL_MJ_COA,2/2/2016 3:05:58 PM,APP,4/12/2016 12:49:34 PM,801 Lancaster Street - New Construction,"New construction consisting of a 30' x 57' 6"""" house and a 24' x 24' detached garage.",KROSENBERG,KROSENBERG,APP,Approved,PL_MJ_COA,Major COA,Karla Rosenberg,Karla.Rosenberg@durhamnc.gov,11133,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2025479.13718073,822493.998828113
11145,Z1100015,D_REZ,6/10/2011 3:16:19 PM,APP,12/7/2011 8:31:44 AM,Wilco Hess,"3,500-4,000 sf of building and associated parking lot.",JOANNEG,AWOLFF,APP,Approved,D_REZ,Zoning Map Change,Amy Wolff,Amy.Wolff@durhamnc.gov,11145,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2029428.91218074,779848.332812488
11149,D0800080,PL_MINSP,4/11/2008 11:44:25 AM,APP,6/9/2008 1:26:21 PM,Durham Academy Upper School Parking Lot,"Renovation and expansion of parking lot to accomodate 130 spaces on 1.67 acres
3507 Ridge Road, between Pickett Road and Cornwallis Road",TDANNER,AKRAMER,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,,,11149,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2009014.84382136,810942.235937476
11151,D1500357,PL_MINSP,12/15/2015 1:02:21 PM,APP,7/10/2017 2:59:53 PM,Southpoint Professional Center - Phase III Amendment,"Amendment to site plan for new office building with utilities and site improvements, and change from surface parking to new structured parking. Review under ZO.",MARIAHER,DCULTRA,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Danny Cultra,Danny.Cultra@durhamnc.gov,11151,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2021094.97155572,786734.653124988
11153,D2000099,PL_MINSP,4/29/2020 3:50:08 PM,APP,7/23/2020 12:40:36 PM,South Square Apartments Amendment,Addition of Gables to denoted buildings.,JESSICADO,DCULTRA,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Danny Cultra,Danny.Cultra@durhamnc.gov,11153,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2013316.89225885,805358.243749976
11160,D1700065,PL_MINSP,3/7/2017 9:32:15 AM,APP,11/20/2017 10:45:16 AM,ARE NC 54 Building Humacyte Upfit Amendment,"HVAC, gas and electrical utility pad installation.",LROBERTSON,TREYFI,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Trey Figueroa,Trey.Figueroa@durhamnc.gov,11160,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2033925.96452448,783115.600781232
11161,D1700224,PL_MINSP,7/5/2017 10:31:07 AM,APP,2/27/2018 3:35:33 PM,Bryotronics Mass Spectrometry Laboratory,1500 SF laboratory building with 2859 SF of parking area.,COLERE,DCULTRA,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Danny Cultra,Danny.Cultra@durhamnc.gov,11161,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2008892.10007136,829618.678515613
11176,Z1700013,D_REZ,3/17/2017 1:54:12 PM,APP,3/20/2018 12:02:13 PM,Page Park II,A request to rezone RS-M(D) andCG(D) to RS-M(D). CG(D) portion of property approved as part of original Page Park development (P03-20). Proposes 50 townhouses on CG(D) portion. RS-M(D) portion currently contains 288 appartments.,JOANNEG,JAMIESUN,APP,Approved,D_REZ,Zoning Map Change,,,11176,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2050214.44929011,778620.366796851
11184,Z1500035,D_REZ,10/12/2015 1:53:20 PM,APP,3/30/2017 10:02:05 AM,Murphy USA,"1,200 sf convenience store and gas station with 8 fueling stations",JOANNEG,KYLETA,APP,Approved,D_REZ,Zoning Map Change,Kyle Taylor,Kyle.Taylor@durhamnc.gov,11184,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2046190.5633526,829299.584765613
11186,D0800194,PL_MINSP,8/22/2008 9:49:48 AM,APP,4/9/2009 3:54:27 PM,Securcare Self Storage Redevelopment ,"84,150 square foot self service storage facilities on 1.66 acres zoned IL",DACIARE,DCULTRA,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Danny Cultra,Danny.Cultra@durhamnc.gov,11186,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2001194.93405573,801820.513281226
11199,Z1100018,D_REZ,8/5/2011 9:20:08 AM,APP,1/24/2012 8:09:27 AM,Guess Road Apartments,22 multifamily units,JOANNEG,AWOLFF,APP,Approved,D_REZ,Zoning Map Change,Amy Wolff,Amy.Wolff@durhamnc.gov,11199,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2024823.97507136,826839.764843732
11204,D2200207,PL_MINSP,6/21/2022 11:40:11 AM,APP,12/2/2022 2:33:42 PM,Durham Elementary School F ,Development of a new elementary school -- associated with rezoning case Z2200016. ,COLERE,ROBINSH,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Robin Schultze,Robin.Schultze@durhamnc.gov,11204,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2021810.85983698,798616.876171857
11208,D1100151,PL_MINSP,8/4/2011 10:35:52 AM,APP,10/17/2012 3:11:41 PM,Kroger Fuel Center R-337,"Remove existing restaurant and propose fueling center consisting of 4 gas pumps and a kiosk covered by a canopy in existing commercial center with areas of existing parking to be converted to landscaping to meet 70% max impervious surface zoned CC and E-B, and located at   5116 N Roxboro Street",LEEDA,DCULTRA,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Danny Cultra,Danny.Cultra@durhamnc.gov,11208,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2027561.81569636,844185.838281229
11211,COA1600109,PL_MJ_COA,10/24/2016 2:54:46 PM,APP,12/22/2016 2:55:54 PM,"1401 Maryland Ave - New Construction, Addition and Site Work",Construction of a new 24 by 32 foot addition to the rear of the house.,LROBERTSON,KROSENBERG,APP,Approved,PL_MJ_COA,Major COA,Karla Rosenberg,Karla.Rosenberg@durhamnc.gov,11211,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2022903.12077448,826070.376562476
11217,Z2100006,D_REZ,2/1/2021 12:00:00 AM,APP,9/25/2022 11:25:45 AM,Wabash Parcels,"44 townhouse lots w/assoc, streets, utilities, and grading / stormwater",JOANNEG,LEIGHALA,APP,Approved,D_REZ,Zoning Map Change,Leigha Larkins,Leigha.Larkins@durhamnc.gov,11217,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2032848.35163386,808275.557812482
11223,COA1200016,PL_MJ_COA,2/29/2012 12:00:00 AM,APP,4/10/2012 2:12:18 PM,209 Church St - Roof Deck,Addition of roof deck,SYOUNG,LMILLER,APP,Approved,PL_MJ_COA,Major COA,Lisa Miller,Lisa.Miller@durhamnc.gov,11223,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2029897.41061823,817221.408984363
11224,D2000183,PL_MINSP,8/3/2020 2:42:03 PM,APP,10/21/2021 1:43:39 PM,Triple Crown Conservation Subdivision,Proposed residential subdivision that will include 254 single - family lots and 105 townhomes as well as the associated public streets and utilities,JESSICADO,ELIZAMO,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Eliza Monroe,Eliza.Monroe@durhamnc.gov,11224,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2065859.90475886,808698.616406232
11227,D1200004,PL_SSP_SM,1/5/2012 8:52:16 AM,APP,2/21/2012 3:33:25 PM,The Street at Southpoint -Accessible Parking Revision,Revison to parking lot to add accessible parking.,JEANETTEBR,DCULTRA,APP,Approved,PL_SSP_SM,Level 3 - Administrative Site Plan,Danny Cultra,Danny.Cultra@durhamnc.gov,11227,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2018017.10124323,784676.848437488
11234,D2200271,PL_MINSP,8/11/2022 1:28:07 PM,APP,4/11/2023 9:58:51 AM,Jewish Community Center Expansion,"Addition of a senior day space at the existing community center,additional parking, new Early Childhood center building, drop-off and parking.",COLERE,COLERE,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Cole Renigar,Cole.Renigar@durhamnc.gov,11234,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2013177.36413385,811410.507421851
11241,D0900057,PL_MAJSP,3/16/2009 6:05:05 AM,APP,1/18/2010 12:12:02 PM,NCCU Latham Parking Deck,"261,278 sq ft, 5 story parking deck, with 12,384 sq ft of retail, 2,252 sq ft of office, and 728 sq ft of storage/mechanical spaces on a 3.94 acre tract. Located north of E Lawson, east of Lincoln Street and south of Dupree Street, in the Urban Tier.",JEANETTEBR,JMORRIS,APP,Approved,PL_MAJSP,Major Site Plan,,,11241,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2030723.66999324,810389.968749985
11243,COA2000073,PL_MJ_COA,9/15/2020 12:00:00 AM,APP,2/23/2021 1:51:49 PM,2119 West Club Boulevard - Addition and Modifications,Propose to update and expand a 1920's single-family residence.,GSMITH,KEAGANSA,APP,Approved,PL_MJ_COA,Major COA,Keagan Sacripanti,Keagan.Sacripanti@durhamnc.gov,11243,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2021538.37663385,825136.982031226
11258,Z1100016,D_REZ,7/7/2011 2:18:53 PM,APP,11/29/2011 8:28:03 AM,Claremont Acres 2,9 single family lots,JOANNEG,AWOLFF,APP,Approved,D_REZ,Zoning Map Change,Amy Wolff,Amy.Wolff@durhamnc.gov,11258,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2020811.59733698,774263.870703101
11264,COA1100002,PL_MJ_COA,1/4/2011 1:54:21 PM,APP,2/4/2011 10:55:58 AM,108 Morris Street,Streetscape improvements,LMILLER,LMILLER,APP,Approved,PL_MJ_COA,Major COA,Lisa Miller,Lisa.Miller@durhamnc.gov,11264,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2028524.22038385,817917.393359363
11266,D2200098,PL_MINSP,3/25/2022 12:03:48 PM,APP,11/15/2022 2:13:41 PM,Andretti Indoor Karting & Games ,"Construct 97,000 SF building and associated parking. ",FRANCISCOM,TREYFI,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Trey Figueroa,Trey.Figueroa@durhamnc.gov,11266,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2048583.67780574,775591.727343738
11273,COA1800078,PL_MJ_COA,9/21/2018 12:00:00 AM,APP,12/21/2018 5:45:41 PM,"1309 Maryland Avenue - New Construction, Addition, Modifications, Demolition, and Site Work","Restore the home as a brick structure and remove the aluminum carport, replacing it with a wood-clad, one-car garage at the rear corner of the site.  Existing chain link fences will be replaced with wood fences.
The intent also is to modernize the home so that it more closely suits how today's family lives.  This includes re-working the floor plan and expanding the home to include larger spaces and more bedrooms.
",KIMRO,KROSENBERG,APP,Approved,PL_MJ_COA,Major COA,Karla Rosenberg,Karla.Rosenberg@durhamnc.gov,11273,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2022923.75749323,825936.541406229
11291,D1500060,PL_MINSP,3/24/2015 12:56:59 PM,APP,7/13/2015 4:10:19 PM,New Creation United Methodist Church,"Proposed worship center, classrooms and associated parking",DCULTRA,JENNIFERL,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,Jennifer Leaf,Jennifer.Leaf@durhamnc.gov,11291,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2028172.54577447,797162.72851561
11298,D1200041,PL_SSP_SM,2/28/2012 10:26:01 AM,APP,5/29/2012 1:11:58 PM,Save-A-Lot Food Stores,Renovate existing former grocery store; site plan uses Alston Ave. road improvements.,JEANETTEBR,AKRAMER,APP,Approved,PL_SSP_SM,Level 3 - Administrative Site Plan,,,11298,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2033572.04733698,816118.628124982
11311,D1200117,PL_SSP_SM,6/12/2012 10:01:34 AM,APP,9/25/2012 3:30:20 PM,Tommy's Mini Mart,"Addition of 13 parking spaces, 1 loading space & 4 bicycle spaces.",JEANETTEBR,LHODGES,APP,Approved,PL_SSP_SM,Level 3 - Administrative Site Plan,,,11311,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2048047.38327448,798914.999609351
11312,D0700596,PL_SSP_SM,11/29/2007 2:24:38 PM,APP,8/14/2008 8:59:42 AM,RTI Barrel Storage Canopy,Addition of canopy over existing barrel storage area,LEEDA,DDOTY,APP,Approved,PL_SSP_SM,Level 3 - Administrative Site Plan,Dennis Doty,Dennis.Doty@durhamnc.gov,11312,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2039790.3446026,783855.017968729
11313,D1000104,PL_MINSP,5/27/2010 12:00:00 AM,APP,7/27/2010 9:39:09 AM,Lalilab Site Plan Amendment,"Amendment to D0700436 adding gravel area around building and retaining wall, relocating internal sidewalks, relocating HVAC units from roof to groundlevel, and adding connection from internal walks to public sidewalk along Hamlin Rd.",JEANETTEBR,LDARDEN,APP,Approved,PL_MINSP,Level 4 - Administrative Site Plan,,,11313,5/22/2025 6:40:01 AM,gisproc_sys,5/22/2025 6:40:01 AM,gisproc_sys,2040423.90007135,838501.865624979
